"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2023";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"342.396.833,15";"283.004.398,08";"282.958.137,14";"6.414.141,83";
"03/2023";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"284.940.592,80";"296.849.401,10";"291.915.636,04";"7.105.018,32";
"08/2023";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"12.332.308,31";"15.080.922,49";"598.728.495,48";"4.411.235,16";
"04/2023";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"400.252.199,49";"386.042.513,98";"291.956.704,81";"2.557.818,11";
"06/2023";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"299.399.791,56";"320.278.911,14";"319.796.833,79";"1.117.397,15";
"07/2023";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"337.946.491,58";"323.497.781,47";"320.806.479,50";"881.202,92";
"08/2023";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"1.249.722,77";"7.731.859,90";"6.079.935,90";"6.401.867,11";
"03/2023";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"- 2.556.481,25";"10.888.934,32";"10.851.124,30";"13.693.093,87";
"07/2023";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"- 772.474,58";"6.995.555,17";"8.627.740,40";"9.361.660,12";
"01/2023";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"228.475.363,70";"8.017.294,77";"8.017.294,77";"17.957.761,94";
"05/2023";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"112.318,73";"10.719.226,75";"10.713.511,94";"13.323.391,77";
"06/2023";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"115.181,54";"11.049.937,95";"9.420.712,24";"8.386.634,98";
"02/2023";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"21.839.346,04";"5.872.797,43";"5.872.605,17";"10.889.166,97";
"04/2023";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"3.973.961,80";"8.659.463,89";"8.696.277,78";"12.862.194,83";
"04/2023";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"540.742,99";"414.999,17";"411.946,99";"35.533,07";
"02/2023";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"0,00";"127.409,58";"123.928,14";"91.751,72";
"01/2023";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"1.670.209,00";"121.806,64";"12.526,92";"317.805,36";
"08/2023";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"71.224,60";"92.798,80";"328.290,55";"0,00";
"07/2023";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"294.132,00";"612.738,39";"668.746,31";"0,00";
"03/2023";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"576.000,00";"348.497,54";"349.925,89";"126.688,52";
"05/2023";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"469.916,87";"540.958,23";"514.302,01";"5.636,17";
"06/2023";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"435.506,96";"418.175,04";"363.072,41";"36.379,59";
"06/2023";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"6.646.622,97";"45.754.758,27";"35.346.738,91";"360.050,46";
"05/2023";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"14.040.226,41";"35.010.997,99";"29.486.720,20";"1.663.988,54";
"04/2023";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"1.363.136,20";"32.180.752,84";"32.021.704,66";"1.388.259,64";
"01/2023";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"369.692.744,79";"30.530.931,95";"5.744.108,31";"32.695.775,36";
"03/2023";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"4.223.557,86";"32.596.707,22";"35.039.610,56";"1.799.683,79";
"02/2023";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"5.632.033,15";"33.457.776,08";"34.252.281,09";"1.102.232,80";
"07/2023";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"5.864.045,71";"36.214.547,61";"41.605.552,28";"383.031,49";
"08/2023";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"3.081.685,57";"2.640.056,08";"51.294.387,82";"1.308.209,35";
"03/2023";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"2.878.353,38";"37.721.663,05";"37.348.406,50";"2.584.983,69";
"02/2023";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"- 9.695.908,20";"36.088.502,43";"37.137.339,61";"849.714,61";
"07/2023";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"1.155.033,07";"45.109.840,90";"54.047.469,06";"676.101,40";
"05/2023";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"9.241.327,69";"43.921.380,98";"37.251.746,96";"796.633,93";
"08/2023";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"845.149,13";"1.583.289,00";"57.917.491,73";"555.506,62";
"01/2023";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"446.571.570,55";"39.762.612,86";"13.672.902,91";"38.560.070,32";
"04/2023";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"18.468.318,14";"41.270.119,45";"39.276.816,36";"2.522.928,02";
"06/2023";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"10.831.699,50";"54.777.468,36";"45.130.518,30";"622.378,22";
